Urls,Alive,Result Code,Result Text,Socket Error
smartcloudcpa-covid19.com,Yes,503,Service Unavailable,
coronasurvival.us,Yes,503,Service Temporarily Unavailable,
cffcovidspecial.net,Yes,503,Service Unavailable,
trumpcoronawithstocks.com,Yes,503,Service Unavailable,
uncovidyoureyes.com,Yes,503,Service Unavailable,
fearisthevirus.com,Yes,503,Service Temporarily Unavailable,
survivingthecovid19economy.com,Yes,503,Service Temporarily Unavailable,
trackcoronavirus.co,Yes,500,Internal Server Error,
trackcovid19.world,Yes,500,Internal Server Error,
coronavirus2020.today,Yes,500,Internal Server Error,
mycovidstory.com,Yes,500,Internal Server Error,
relawancovid19.id,Yes,500,Internal Server Error,
vaffancovid.today,Yes,500,Internal Server Error,
elderviruscontrol.com,Yes,479,Unassigned,
anti-covid19.ru,Yes,410,Gone,
coronausdata.com,Yes,410,Gone,
mascarasparacoronavirus.es,Yes,410,,
mascarasparacoronavirus.com,Yes,410,,
koronawirus.space,Yes,410,Gone,
cor0navirus.com,Yes,410,Gone,
coronatimeitis.com,Yes,410,Gone,
coronavirusbrasil.site,Yes,410,Gone,
covid19scc.xyz,Yes,410,Gone,
coronahealth.store,Yes,410,Gone,
entreprisescoronavirus.fr,Yes,410,Gone,
coronaminions.org,Yes,410,Gone,
coronasuppliesusa.com,Yes,404,Not Found,
covid-testkit.com,Yes,404,Not Found,
unitedagainstcorona.com,Yes,404,Not Found,
coronacottonmask.com,Yes,404,Not Found,
coronavirusprotectivemask.org,Yes,404,Not Found,
qualitycoronamasks.com,Yes,404,Not Found,
resist-corona.com,Yes,404,Not Found,
coronofw.com,Yes,404,Not Found,
coronasurvivor.de,Yes,404,Not Found,
catalogcorona.com,Yes,404,Not Found,
icoronaclean.com,Yes,404,Not Found,
covid-19-test-kits.com,Yes,404,Not Found,
thecoronanation.com,Yes,404,Not Found,
coronavirushelp.store,Yes,404,Not Found,
coronavirus-stop.com,Yes,404,Not Found,
coronamasks.net,Yes,404,Not Found,
thecoronavirus2020.com,Yes,404,Not Found,
buycoronamasks.net,Yes,404,Not Found,
781coronado.com,Yes,404,Not Found,
killcovidwithkindness.info,Yes,404,Not Found,
coronavirushealthsupplies.com,Yes,404,Not Found,
coronadudes.com,Yes,404,Not Found,
corona-times.com,Yes,404,Not Found,
coronavirusfiltermasks.com,Yes,404,Not Found,
noncoronavirus.com,Yes,404,Not Found,
thecoronatestkit.com,Yes,404,Not Found,
